blockerId,workType,id,sendBy,sendTiming,followUpAt,followUpTiming,dueAt,dueTiming,owner,reviewerRole,dispatchStatus,timeboxMinutes,status,action,urlOrCommand,packetOrArtifact,submissionPath,evidenceRule
beta-human-review-threshold,beta-human-review,BETA-HR-011,2026-05-28,send overdue by 8 days,2026-05-28,follow-up overdue by 8 days,2026-05-29,review overdue by 7 days,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-011 dispatch is overdue by 8 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-012,2026-05-28,send overdue by 8 days,2026-05-28,follow-up overdue by 8 days,2026-05-29,review overdue by 7 days,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-012 dispatch is overdue by 8 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-013,2026-05-28,send overdue by 8 days,2026-05-28,follow-up overdue by 8 days,2026-05-29,review overdue by 7 days,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-013 dispatch is overdue by 8 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-014,2026-05-28,send overdue by 8 days,2026-05-28,follow-up overdue by 8 days,2026-05-29,review overdue by 7 days,Product,mobile couple beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-014 dispatch is overdue by 8 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-015,2026-05-28,send overdue by 8 days,2026-05-28,follow-up overdue by 8 days,2026-05-29,review overdue by 7 days,Product,desktop family beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-015 dispatch is overdue by 8 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-016,2026-06-01,send overdue by 4 days,2026-06-01,follow-up overdue by 4 days,2026-06-02,review overdue by 3 days,Product,mobile family beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-016 dispatch is overdue by 4 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-017,2026-06-01,send overdue by 4 days,2026-06-01,follow-up overdue by 4 days,2026-06-02,review overdue by 3 days,Product,desktop family beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-017 dispatch is overdue by 4 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-018,2026-06-01,send overdue by 4 days,2026-06-01,follow-up overdue by 4 days,2026-06-02,review overdue by 3 days,Product,mobile couple beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-018 dispatch is overdue by 4 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-019,2026-06-01,send overdue by 4 days,2026-06-01,follow-up overdue by 4 days,2026-06-02,review overdue by 3 days,Product,desktop solo beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-019 dispatch is overdue by 4 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-020,2026-06-01,send overdue by 4 days,2026-06-01,follow-up overdue by 4 days,2026-06-02,review overdue by 3 days,Product,mobile solo beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-020 dispatch is overdue by 4 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-021,2026-06-03,send overdue by 2 days,2026-06-03,follow-up overdue by 2 days,2026-06-04,review overdue by 1 day,Product,desktop solo beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-021 dispatch is overdue by 2 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-022,2026-06-03,send overdue by 2 days,2026-06-03,follow-up overdue by 2 days,2026-06-04,review overdue by 1 day,Product,mobile solo beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-022 dispatch is overdue by 2 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-023,2026-06-03,send overdue by 2 days,2026-06-03,follow-up overdue by 2 days,2026-06-04,review overdue by 1 day,Product,desktop family beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-023 dispatch is overdue by 2 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-024,2026-06-03,send overdue by 2 days,2026-06-03,follow-up overdue by 2 days,2026-06-04,review overdue by 1 day,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-024 dispatch is overdue by 2 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-025,2026-06-03,send overdue by 2 days,2026-06-03,follow-up overdue by 2 days,2026-06-04,review overdue by 1 day,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-025 dispatch is overdue by 2 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
production-visual-review-history,production-visual-review,PROD-VISUAL-HISTORY-004,,,,,2026-06-11,review in 6 days,Product,visual QA reviewer,planned,,required for public launch history,"Run production visual review PROD-VISUAL-HISTORY-004 by 2026-06-11, inspect screenshots, then validate intake.",QA_BASE_URL=https://globe-travel-two.vercel.app QA_SHARE_SLUG=x3m2c8cnws QA_PRODUCTION_VISUAL_ARTIFACT_NAME=visual-baseline-production-review-2026-06-11 npm run qa:release-production,qa/visual-baseline-production-review-2026-06-11,qa/production-visual-review-submissions-2026-05-21/PROD-VISUAL-HISTORY-004.json,Counts only after production visual review evidence passes intake and is explicitly imported into reviewHistory.
