id,waveId,kickoffAt,dueAt,status,owner,reviewerCohort,reviewerRole,destination,audience,style,region,device,viewport,surfaces,startUrl,packetPath,submissionTemplatePath,assignee,completedSubmissionPath,notes
BETA-HR-011,BETA-WAVE-03,2026-05-28,2026-05-29,scheduled,Product,desktop trip-studio reviewer,desktop friend group beta reviewer,Sydney,friend-group,outdoors,Oceania,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.template.json,,,
BETA-HR-012,BETA-WAVE-03,2026-05-28,2026-05-29,scheduled,Product,share-feedback reviewer,mobile friend group beta reviewer,Vancouver,friend-group,outdoors,North America,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.template.json,,,
BETA-HR-013,BETA-WAVE-03,2026-05-28,2026-05-29,scheduled,Product,share-feedback reviewer,desktop friend group beta reviewer,Rio de Janeiro,friend-group,nightlife,Latin America,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.template.json,,,
BETA-HR-014,BETA-WAVE-03,2026-05-28,2026-05-29,scheduled,Product,continuity reviewer,mobile couple beta reviewer,Reykjavik,couple,outdoors,Europe,phone,390x844,planner|trip-studio|map|save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.template.json,,,
BETA-HR-015,BETA-WAVE-03,2026-05-28,2026-05-29,scheduled,Product,share-feedback reviewer,desktop family beta reviewer,Crete,family,outdoors,Europe,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.template.json,,,
BETA-HR-016,BETA-WAVE-04,2026-06-01,2026-06-02,scheduled,Product,mobile planner reviewer,mobile family beta reviewer,Singapore,family,food,Asia,phone,390x844,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.template.json,,,
BETA-HR-017,BETA-WAVE-04,2026-06-01,2026-06-02,scheduled,Product,share-feedback reviewer,desktop family beta reviewer,Dubai,family,premium,Asia,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.template.json,,,
BETA-HR-018,BETA-WAVE-04,2026-06-01,2026-06-02,scheduled,Product,continuity reviewer,mobile couple beta reviewer,Madrid and Seville,couple,culture,Europe,phone,390x844,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.template.json,,,
BETA-HR-019,BETA-WAVE-04,2026-06-01,2026-06-02,scheduled,Product,desktop trip-studio reviewer,desktop solo beta reviewer,Kyoto,solo,culture,Asia,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.template.json,,,
BETA-HR-020,BETA-WAVE-04,2026-06-01,2026-06-02,scheduled,Product,continuity reviewer,mobile solo beta reviewer,Seattle,solo,budget,North America,phone,390x844,planner|trip-studio|map|save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.template.json,,,
BETA-HR-021,BETA-WAVE-05,2026-06-03,2026-06-04,scheduled,Product,desktop trip-studio reviewer,desktop solo beta reviewer,Bali,solo,outdoors,Asia,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.template.json,,,
BETA-HR-022,BETA-WAVE-05,2026-06-03,2026-06-04,scheduled,Product,share-feedback reviewer,mobile solo beta reviewer,Nairobi,solo,culture,Africa,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.template.json,,,
BETA-HR-023,BETA-WAVE-05,2026-06-03,2026-06-04,scheduled,Product,continuity reviewer,desktop family beta reviewer,Washington DC,family,culture,North America,desktop,1440x950,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.template.json,,,
BETA-HR-024,BETA-WAVE-05,2026-06-03,2026-06-04,scheduled,Product,share-feedback reviewer,mobile friend group beta reviewer,Mexico City,friend-group,nightlife,Latin America,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.template.json,,,
BETA-HR-025,BETA-WAVE-05,2026-06-03,2026-06-04,scheduled,Product,continuity reviewer,desktop friend group beta reviewer,London,friend-group,budget,Europe,desktop,1440x950,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.template.json,,,
