priority,workType,id,destination,owner,sendBy,sendTiming,followUpAt,followUpTiming,dueAt,dueTiming,daysUntilDue,sendStatus,reviewerAlias,contactRecordLocation,action,messageSubject,messageFile,startUrlOrCommand,packetOrArtifact,submissionPath,validateCommand,importCommand
P0,beta-human-review,BETA-HR-011,Sydney,Product,2026-05-28,send overdue by 7 days,2026-05-28,follow-up overdue by 7 days,2026-05-29,review overdue by 6 days,-6,prepared-not-sent,,,"BETA-HR-011 dispatch is overdue by 7 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 7 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 6 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-011 Sydney review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-011-sydney.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-012,Vancouver,Product,2026-05-28,send overdue by 7 days,2026-05-28,follow-up overdue by 7 days,2026-05-29,review overdue by 6 days,-6,prepared-not-sent,,,"BETA-HR-012 dispatch is overdue by 7 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 7 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 6 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-012 Vancouver review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-012-vancouver.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-013,Rio de Janeiro,Product,2026-05-28,send overdue by 7 days,2026-05-28,follow-up overdue by 7 days,2026-05-29,review overdue by 6 days,-6,prepared-not-sent,,,"BETA-HR-013 dispatch is overdue by 7 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 7 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 6 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-013 Rio de Janeiro review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-013-rio-de-janeiro.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-014,Reykjavik,Product,2026-05-28,send overdue by 7 days,2026-05-28,follow-up overdue by 7 days,2026-05-29,review overdue by 6 days,-6,prepared-not-sent,,,"BETA-HR-014 dispatch is overdue by 7 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 7 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 6 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-014 Reykjavik review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-014-reykjavik.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-015,Crete,Product,2026-05-28,send overdue by 7 days,2026-05-28,follow-up overdue by 7 days,2026-05-29,review overdue by 6 days,-6,prepared-not-sent,,,"BETA-HR-015 dispatch is overdue by 7 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 7 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 6 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-015 Crete review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-015-crete.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-016,Singapore,Product,2026-06-01,send overdue by 3 days,2026-06-01,follow-up overdue by 3 days,2026-06-02,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-016 dispatch is overdue by 3 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-016 Singapore review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-016-singapore.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-017,Dubai,Product,2026-06-01,send overdue by 3 days,2026-06-01,follow-up overdue by 3 days,2026-06-02,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-017 dispatch is overdue by 3 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-017 Dubai review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-017-dubai.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-018,Madrid and Seville,Product,2026-06-01,send overdue by 3 days,2026-06-01,follow-up overdue by 3 days,2026-06-02,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-018 dispatch is overdue by 3 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-018 Madrid and Seville review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-018-madrid-and-seville.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-019,Kyoto,Product,2026-06-01,send overdue by 3 days,2026-06-01,follow-up overdue by 3 days,2026-06-02,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-019 dispatch is overdue by 3 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-019 Kyoto review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-019-kyoto.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-020,Seattle,Product,2026-06-01,send overdue by 3 days,2026-06-01,follow-up overdue by 3 days,2026-06-02,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-020 dispatch is overdue by 3 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-020 Seattle review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-020-seattle.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-021,Bali,Product,2026-06-03,send overdue by 1 day,2026-06-03,follow-up overdue by 1 day,2026-06-04,review today,0,prepared-not-sent,,,"BETA-HR-021 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-021 Bali review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-021-bali.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-022,Nairobi,Product,2026-06-03,send overdue by 1 day,2026-06-03,follow-up overdue by 1 day,2026-06-04,review today,0,prepared-not-sent,,,"BETA-HR-022 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-022 Nairobi review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-022-nairobi.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-023,Washington DC,Product,2026-06-03,send overdue by 1 day,2026-06-03,follow-up overdue by 1 day,2026-06-04,review today,0,prepared-not-sent,,,"BETA-HR-023 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-023 Washington DC review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-023-washington-dc.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-024,Mexico City,Product,2026-06-03,send overdue by 1 day,2026-06-03,follow-up overdue by 1 day,2026-06-04,review today,0,prepared-not-sent,,,"BETA-HR-024 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-024 Mexico City review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-024-mexico-city.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-025,London,Product,2026-06-03,send overdue by 1 day,2026-06-03,follow-up overdue by 1 day,2026-06-04,review today,0,prepared-not-sent,,,"BETA-HR-025 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-025 London review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-025-london.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,production-visual-review,PROD-VISUAL-HISTORY-002,Production visual review,Product,,,,,2026-05-28,review overdue by 7 days,-7,prepared-not-sent,,,Review overdue by 7 days; run production visual review and import evidence.,[Globe.travel visual QA] PROD-VISUAL-HISTORY-002 production review due 2026-05-28,qa/production-visual-review-dispatch-outbox-2026-05-26/prod-visual-history-002-2026-05-28.txt,QA_BASE_URL=https://globe-travel-two.vercel.app QA_SHARE_SLUG=x3m2c8cnws QA_PRODUCTION_VISUAL_ARTIFACT_NAME=visual-baseline-production-review-2026-05-28 npm run qa:release-production,qa/visual-baseline-production-review-2026-05-28,qa/production-visual-review-submissions-2026-05-21/PROD-VISUAL-HISTORY-002.json,npm run qa:visual-review-intake,QA_VISUAL_REVIEW_IMPORT=1 npm run qa:visual-review-intake
P1,production-visual-review,PROD-VISUAL-HISTORY-003,Production visual review,Product,,,,,2026-06-04,review today,0,prepared-not-sent,,,Review today; send visual-review assignment or confirm scheduled reviewer time.,[Globe.travel visual QA] PROD-VISUAL-HISTORY-003 production review due 2026-06-04,qa/production-visual-review-dispatch-outbox-2026-05-26/prod-visual-history-003-2026-06-04.txt,QA_BASE_URL=https://globe-travel-two.vercel.app QA_SHARE_SLUG=x3m2c8cnws QA_PRODUCTION_VISUAL_ARTIFACT_NAME=visual-baseline-production-review-2026-06-04 npm run qa:release-production,qa/visual-baseline-production-review-2026-06-04,qa/production-visual-review-submissions-2026-05-21/PROD-VISUAL-HISTORY-003.json,npm run qa:visual-review-intake,QA_VISUAL_REVIEW_IMPORT=1 npm run qa:visual-review-intake
