id,workType,destination,messageSubject,messageFile,startUrlOrCommand,packetOrArtifact,submissionTemplatePath,completedSubmissionPath,validateCommand,importCommand,postImportCommands,reviewerAlias,deliveryChannel,sentAt,contactRecordLocation,notes,reviewerAliasExample,deliveryChannelExample,sentAtExample,contactRecordLocationExample
BETA-HR-013,beta-human-review,Rio de Janeiro,[Globe.travel beta] BETA-HR-013 Rio de Janeiro review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-013-rio-de-janeiro.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-013,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-013-sent-proof
BETA-HR-014,beta-human-review,Reykjavik,[Globe.travel beta] BETA-HR-014 Reykjavik review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-014-reykjavik.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-014,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-014-sent-proof
BETA-HR-015,beta-human-review,Crete,[Globe.travel beta] BETA-HR-015 Crete review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-015-crete.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-015,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-015-sent-proof
BETA-HR-016,beta-human-review,Singapore,[Globe.travel beta] BETA-HR-016 Singapore review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-016-singapore.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-016,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-016-sent-proof
BETA-HR-017,beta-human-review,Dubai,[Globe.travel beta] BETA-HR-017 Dubai review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-017-dubai.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-017,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-017-sent-proof
BETA-HR-018,beta-human-review,Madrid and Seville,[Globe.travel beta] BETA-HR-018 Madrid and Seville review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-018-madrid-and-seville.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-018,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-018-sent-proof
BETA-HR-019,beta-human-review,Kyoto,[Globe.travel beta] BETA-HR-019 Kyoto review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-019-kyoto.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-019,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-019-sent-proof
BETA-HR-020,beta-human-review,Seattle,[Globe.travel beta] BETA-HR-020 Seattle review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-020-seattle.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-020,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-020-sent-proof
BETA-HR-021,beta-human-review,Bali,[Globe.travel beta] BETA-HR-021 Bali review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-021-bali.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-021,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-021-sent-proof
BETA-HR-022,beta-human-review,Nairobi,[Globe.travel beta] BETA-HR-022 Nairobi review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-022-nairobi.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-022,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-022-sent-proof
BETA-HR-023,beta-human-review,Washington DC,[Globe.travel beta] BETA-HR-023 Washington DC review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-023-washington-dc.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-023,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-023-sent-proof
BETA-HR-024,beta-human-review,Mexico City,[Globe.travel beta] BETA-HR-024 Mexico City review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-024-mexico-city.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-024,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-024-sent-proof
BETA-HR-025,beta-human-review,London,[Globe.travel beta] BETA-HR-025 London review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-025-london.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-025,external-outreach-log,2026-06-06T12:00:00.000Z,external-record:beta-hr-025-sent-proof
