id,waveId,destination,reviewerRole,device,viewport,sendBy,followUpAt,dueAt,dispatchStatus,messageSubject,messageFile,startUrl,packetPath,submissionTemplatePath,completedSubmissionPath
BETA-HR-016,BETA-WAVE-04,Singapore,mobile family beta reviewer,phone,390x844,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,[Globe.travel beta] BETA-HR-016 Singapore review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-016-singapore.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json
BETA-HR-017,BETA-WAVE-04,Dubai,desktop family beta reviewer,desktop,1440x950,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,[Globe.travel beta] BETA-HR-017 Dubai review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-017-dubai.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json
BETA-HR-018,BETA-WAVE-04,Madrid and Seville,mobile couple beta reviewer,phone,390x844,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,[Globe.travel beta] BETA-HR-018 Madrid and Seville review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-018-madrid-and-seville.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json
BETA-HR-019,BETA-WAVE-04,Kyoto,desktop solo beta reviewer,desktop,1440x950,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,[Globe.travel beta] BETA-HR-019 Kyoto review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-019-kyoto.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json
BETA-HR-020,BETA-WAVE-04,Seattle,mobile solo beta reviewer,phone,390x844,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,[Globe.travel beta] BETA-HR-020 Seattle review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-020-seattle.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json
BETA-HR-021,BETA-WAVE-05,Bali,desktop solo beta reviewer,desktop,1440x950,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,[Globe.travel beta] BETA-HR-021 Bali review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-021-bali.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json
BETA-HR-022,BETA-WAVE-05,Nairobi,mobile solo beta reviewer,phone,390x844,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,[Globe.travel beta] BETA-HR-022 Nairobi review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-022-nairobi.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json
BETA-HR-023,BETA-WAVE-05,Washington DC,desktop family beta reviewer,desktop,1440x950,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,[Globe.travel beta] BETA-HR-023 Washington DC review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-023-washington-dc.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json
BETA-HR-024,BETA-WAVE-05,Mexico City,mobile friend group beta reviewer,phone,390x844,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,[Globe.travel beta] BETA-HR-024 Mexico City review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-024-mexico-city.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.json
BETA-HR-025,BETA-WAVE-05,London,desktop friend group beta reviewer,desktop,1440x950,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,[Globe.travel beta] BETA-HR-025 London review due 2026-06-04,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-025-london.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.json
