id,waveId,destination,expectedSendBy,followUpAt,dueAt,sendStatus,reviewerAlias,deliveryChannel,sentAt,contactRecordLocation,messageFile,completedSubmissionPath
BETA-HR-011,BETA-WAVE-03,Sydney,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-011-sydney.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json
BETA-HR-012,BETA-WAVE-03,Vancouver,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-012-vancouver.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json
BETA-HR-013,BETA-WAVE-03,Rio de Janeiro,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-013-rio-de-janeiro.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json
BETA-HR-014,BETA-WAVE-03,Reykjavik,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-014-reykjavik.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json
BETA-HR-015,BETA-WAVE-03,Crete,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-015-crete.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json
BETA-HR-016,BETA-WAVE-04,Singapore,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-016-singapore.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json
BETA-HR-017,BETA-WAVE-04,Dubai,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-017-dubai.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json
BETA-HR-018,BETA-WAVE-04,Madrid and Seville,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-018-madrid-and-seville.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json
BETA-HR-019,BETA-WAVE-04,Kyoto,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-019-kyoto.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json
BETA-HR-020,BETA-WAVE-04,Seattle,2026-06-01,2026-06-01,2026-06-02,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-020-seattle.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json
BETA-HR-021,BETA-WAVE-05,Bali,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-021-bali.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json
BETA-HR-022,BETA-WAVE-05,Nairobi,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-022-nairobi.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json
BETA-HR-023,BETA-WAVE-05,Washington DC,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-023-washington-dc.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json
BETA-HR-024,BETA-WAVE-05,Mexico City,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-024-mexico-city.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.json
BETA-HR-025,BETA-WAVE-05,London,2026-06-03,2026-06-03,2026-06-04,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-025-london.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.json
