id,destination,audience,style,region,device,viewport,surfaces,startUrl,packetPath,submissionTemplatePath,assignee,reviewWindow,status,submissionPath,notes
BETA-HR-011,Sydney,friend-group,outdoors,Oceania,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.template.json,,,unassigned,,
BETA-HR-012,Vancouver,friend-group,outdoors,North America,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.template.json,,,unassigned,,
BETA-HR-013,Rio de Janeiro,friend-group,nightlife,Latin America,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.template.json,,,unassigned,,
BETA-HR-014,Reykjavik,couple,outdoors,Europe,phone,390x844,planner|trip-studio|map|save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.template.json,,,unassigned,,
BETA-HR-015,Crete,family,outdoors,Europe,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.template.json,,,unassigned,,
BETA-HR-016,Singapore,family,food,Asia,phone,390x844,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.template.json,,,unassigned,,
BETA-HR-017,Dubai,family,premium,Asia,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.template.json,,,unassigned,,
BETA-HR-018,Madrid and Seville,couple,culture,Europe,phone,390x844,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.template.json,,,unassigned,,
BETA-HR-019,Kyoto,solo,culture,Asia,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.template.json,,,unassigned,,
BETA-HR-020,Seattle,solo,budget,North America,phone,390x844,planner|trip-studio|map|save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.template.json,,,unassigned,,
BETA-HR-021,Bali,solo,outdoors,Asia,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.template.json,,,unassigned,,
BETA-HR-022,Nairobi,solo,culture,Africa,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.template.json,,,unassigned,,
BETA-HR-023,Washington DC,family,culture,North America,desktop,1440x950,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.template.json,,,unassigned,,
BETA-HR-024,Mexico City,friend-group,nightlife,Latin America,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Mexico+City+trip+with+food%2C+museums%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-024-mexico-city.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-024-mexico-city.template.json,,,unassigned,,
BETA-HR-025,London,friend-group,budget,Europe,desktop,1440x950,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+rain-safe+London+trip+for+friends+with+museums%2C+food%2C+and+flexible+timing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-025-london.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-025-london.template.json,,,unassigned,,
